Oltási lista 2471, Baracska településre
2021-03-02

Időpont;Név;Irányítószám;Életkor;E-mail cím;TAJ szám;Legutóbbi vakcina típusa(ha már kapott)
08:00;Nert Izakov;2471;142;nizakovo@sfgate.com;510096623
08:30;Stephine Lilleyman;2471;133;slilleyman1r@moonfruit.com;175693083
09:00;Yoko Ockwell;2471;133;yockwellr@amazonaws.com;260054922
09:30;Lurlene Dunphie;2471;129;ldunphiew@goo.gl;787340843
10:00;Corly Cruft;2471;127;ccruftg@pen.io;988356050
10:30;Hannis Floodgate;2471;116;hfloodgate8@theguardian.com;375258974
11:00;Ardelle Jobern;2471;115;ajobern9@omniture.com;501419521
11:30;Worthington Windram;2471;112;wwindramd@usda.gov;858468407
12:00;Ansell Wrightem;2471;107;awrightem5@oracle.com;805480609
12:30;Wynn Voden;2471;106;wvodent@bizjournals.com;557907814
13:00;Benny Wallis;2471;104;bwallis13@aol.com;160425310;MODERNA
13:30;Evie Waddams;2471;78;ewaddams1m@storify.com;485379534
14:00;Wilie Kelby;2471;73;wkelbyf@behance.net;190339731
14:30;Zita Pettus;2471;72;zpettus15@symantec.com;224459840
15:00;Priscilla Cardnell;2471;66;pcardnellj@webmd.com;566942262
15:30;Brandtr O Scallan;2471;42;bo10@phoca.cz;787644505
